# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
24000 302.73869120756842221 2693.3411508618928565 69.241598532697651081 0 0 0 -3762.4386087747443526 -2379.3064628754800651
24050 302.10279310375193518 2738.7196574637337108 70.683361524153909272 0 0 0 -3789.048069995471451 -2368.6596962246981093
24100 309.31982460098419097 2606.748812098298913 69.706109259116317389 0 0 0 -3707.2958514616398134 -2368.3879050200835081
24150 289.35381594126079108 2508.3206504106069588 74.283302890187314915 0 0 0 -3625.1601291274569121 -2356.1858886284935579
24200 298.09348359463081124 2562.8360663090143134 74.116467430724654264 0 0 0 -3706.6309046791411674 -2402.8340479677094663
24250 282.19011679392093583 2677.4291001564852195 64.392141319133727961 0 0 0 -3756.3561151314270319 -2408.1657029499592682
24300 304.70219265553015475 2806.4195719978770285 68.873922700435812772 0 0 0 -3873.8557322087426655 -2418.3933650793287597
24350 326.24364628956845991 2802.5882345346885813 57.784614610855200567 0 0 0 -3857.252308186742539 -2397.8516422748143668
24400 308.38320291299021392 2705.6687170099585273 57.241160437329071442 0 0 0 -3779.8169676901575258 -2397.4908607764705266
24450 306.92990090873570352 2681.5095177412931662 73.072423386489248287 0 0 0 -3773.9635896768895691 -2379.9408713575435286
24500 300.12089877149458061 2562.7282664752738128 71.252708533560337401 0 0 0 -3673.8529283427551491 -2362.1575028342685982
24550 288.23400665433177892 2566.8115678506874247 66.549693100015389291 0 0 0 -3688.3384875264550828 -2386.2226842376271634
24600 289.73010251738918441 2511.4161878749901007 75.715725336120684119 0 0 0 -3652.3988404235883536 -2386.3091905733735985
24650 304.19804834761441725 2704.686890106764622 72.520299229867475788 0 0 0 -3779.722078578068249 -2386.5916564132594431
24700 300.18144122917931327 2808.6108098966719808 67.333355123842153489 0 0 0 -3824.9438034815966603 -2382.51524580030582
24750 317.95567710178664811 2683.4654103740358551 73.414911721987934357 0 0 0 -3746.2942999944552867 -2366.1476137372037556
24800 288.46121738396129786 2694.6710105063316405 66.475215358420669531 0 0 0 -3712.0391545374927773 -2357.083843599699776
24850 333.47780979953699898 2664.0481481271831399 69.331015443243018126 0 0 0 -3753.4028746532485457 -2367.8602596331706991
24900 300.47518179505993885 2526.6005100120819407 79.260524739775078729 0 0 0 -3650.777663616632708 -2376.7420828499084564
24950 315.72258010633845515 2563.165712985884511 77.665402851363154468 0 0 0 -3673.8231786109590757 -2369.2738724466157691
25000 288.26806487561003678 2558.2259573968494806 72.836327985866958556 0 0 0 -3638.7590736290958375 -2371.8474125228731282
25050 342.14259695566744313 2754.1201844241595609 72.852822346879293036 0 0 0 -3817.2102207076686682 -2382.8397857065215248
25100 310.19636176276077322 2851.461809559717949 80.731955067755492905 0 0 0 -3867.4835620463722989 -2398.9550153763029812
25150 330.45940335463217252 2921.0907322220173228 94.774560760006806959 0 0 0 -3952.3467007794283745 -2394.3526241658846629
25200 316.57451009231431271 2779.488470649856481 66.568687501635849912 0 0 0 -3864.6145829983843214 -2422.9273966475634552
25250 310.86902554896659012 2584.3396646674104886 68.955245345003419288 0 0 0 -3739.0705891587317637 -2415.3244421608992525
25300 280.26367461857410035 2641.1607314292059527 69.490592796611892368 0 0 0 -3729.4052314244700028 -2383.6355099788615917
25350 332.64533142560435408 2635.548544138527177 57.880265800222844064 0 0 0 -3756.981177200125785 -2377.2682637056159365
25400 344.25445571056019389 2705.4260483275620572 58.853026811810906338 0 0 0 -3810.8083890356706434 -2374.3637604874506906
25450 289.35274590642785597 2668.2691811161175792 72.658562602928000729 0 0 0 -3764.9894683133734361 -2396.200216847394131
25500 310.71632193269374511 2723.2539874064441392 80.517223316485427631 0 0 0 -3824.8806654791942492 -2402.6947450485163245
25550 307.42743788525865511 2772.6632026936840703 81.320913075063359088 0 0 0 -3849.2498977497548367 -2399.2222376386816904
25600 314.68821008393604188 2848.0355754567999611 82.155904415284595643 0 0 0 -3934.5329963733497607 -2435.8719659851262804
25650 319.94376473843237818 2873.6523213354330437 83.046080085840770835 0 0 0 -3950.1035024382676966 -2426.2815629371307296
25700 289.97505523898632873 2795.6042547368979285 74.499864650150911416 0 0 0 -3890.9008260454756964 -2454.9755138579998857
25750 305.7579067139675999 2685.9536174710951855 82.303747427446722895 0 0 0 -3851.0215585830369491 -2460.8939177204183579
25800 287.037405005675339 2662.7487643304480116 70.60772823591369729 0 0 0 -3762.8003558083055395 -2415.61915447682577
25850 347.46785132147294917 2748.891129957913563 73.572553188676863556 0 0 0 -3832.340062698975089 -2369.3168960918869743
25900 309.90639949551433574 2704.9377652867742654 76.869941362039199362 0 0 0 -3787.8937179021263546 -2391.0124793813265569
25950 316.30540869290177852 2708.9468984952509345 78.497342096901064679 0 0 0 -3832.4441501909295766 -2430.1284746867831927
26000 295.03498508227244201 2825.2779181832934228 80.487056384136963061 0 0 0 -3897.6550151419596659 -2440.0804384989255595
26050 280.6593434435797576 2782.6913797612760391 74.518015495113175461 0 0 0 -3855.752736512707088 -2446.7445128682384166
26100 312.92776323512464387 2766.0140507635805989 70.843447436135733142 0 0 0 -3827.2841072019600688 -2398.9604934220069481
26150 337.12839350970023133 2779.5932065414735916 72.473624933854907226 0 0 0 -3866.366252972784423 -2400.3589431255772979
26200 332.28102598198864825 2813.0037928946976535 57.463704982563619694 0 0 0 -3887.0277433262381237 -2413.4601564061586032
26250 299.03271419538123155 2640.9633064184449722 64.245768924405268763 0 0 0 -3761.0233528287335503 -2419.2096893871694192
26300 328.01900949220805614 2746.6923796128926369 62.725638348305643888 0 0 0 -3846.1391542879041481 -2399.4423485853658349
26350 314.53209416294617995 2765.6813745111203389 69.840104334660708219 0 0 0 -3874.2126160179795988 -2424.7172621946579056
26400 321.23496871247516538 2677.3477789528956237 64.671696498027770872 0 0 0 -3823.0023079915072231 -2431.7966215643787109
26450 337.55165151684099101 2735.4763380338345087 79.994949294593993727 0 0 0 -3888.0037344616703194 -2425.9780850356069095
26500 302.52030523042674304 2726.7047337283843262 85.268848568216341732 0 0 0 -3868.0236896275187064 -2444.3554465012607579
26550 320.39465983254922321 2787.5212172256360645 80.870256476488663111 0 0 0 -3895.7179380650532039 -2417.7360754559535962
26600 335.51182807774483763 2753.0810857963933813 65.249315563023259301 0 0 0 -3842.8903089899454244 -2389.2614025497950934
26650 316.98562128215814937 2700.7698164456387531 60.795647275201275761 0 0 0 -3796.0097707614577303 -2395.8215637904299911
26700 308.47352602016064793 2602.0715324206712467 60.547575795670724119 0 0 0 -3689.8009526693276712 -2373.6990122446654823
26750 324.30773628621363969 2803.5243114361505832 60.253099212016302033 0 0 0 -3830.0863425244419886 -2370.0118092179586711
26800 343.94992944697946768 2811.3006470959553553 65.945201845013741604 0 0 0 -3841.0607129114478084 -2356.5822401099358103
26850 337.07576748800170208 2741.4970574102003411 59.865511636804285445 0 0 0 -3804.5742347447358043 -2367.597038131408226
26900 321.18608516117126328 2607.1981939128272643 61.809878850028376007 0 0 0 -3709.2363507232257689 -2372.2165107186824571
26950 287.18397828478703104 2630.632911915720797 80.172906024591313212 0 0 0 -3756.1631631332011239 -2418.2000067505573497
27000 310.62655024299095885 2771.6126988582000195 70.777540636301651489 0 0 0 -3877.4602798132118551 -2437.6800864278343397
27050 293.93646055214207991 2775.7346782797385458 68.256287751638794248 0 0 0 -3842.8424333907905748 -2426.0636023723195649
27100 306.39147404368895877 2749.4708705988509791 74.555186337296120769 0 0 0 -3876.6906790008288226 -2463.5925307906427406
27150 280.86838507430627487 2843.3240748389771397 67.900778956980616385 0 0 0 -3885.1955198060031762 -2440.4068673637584652
27200 312.73016315338270488 2915.9853775704850705 59.539963444333444897 0 0 0 -3966.9783938866667086 -2444.1348122810304631
27250 328.59203483872028073 2780.1018161253532526 60.888118488308990095 0 0 0 -3868.8223765686757361 -2413.3188982668361859
27300 320.00143080331429246 2646.7693012033087143 57.685059687877121348 0 0 0 -3777.3070363749493481 -2404.1210053949585017
27350 301.76693873118477995 2570.2020379298373882 58.563801355147930394 0 0 0 -3663.2275868291076222 -2344.5633375344050364
