#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
7100 15.014908308984743712 12.935170810478853198 17.484463223485480654 45.434542342949079341
7150 13.180485038682022036 11.640700476094579585 16.625993243637793739 41.447178758414402466
7200 13.131594007117181278 11.347987798019309125 15.264299704389415524 39.743881509525898821
7250 13.320190935250250774 12.291112004951363801 15.315508240577022647 40.926811180778628341
7300 12.559601743807258245 13.697205153785409593 15.588948753627397181 41.845755651220066795
7350 12.593749731582805751 14.90057857541497377 16.454127788986397718 43.948456095984170133
7400 11.1351287969984174 14.921434199854303415 15.343079427242457768 41.399642424095191018
7450 11.109740129077650295 16.162074945410349613 14.773231372589537003 42.045046447077538687
7500 11.393319610413570331 16.470048142249876122 14.444250969760204839 42.307618722423647739
7550 11.597070070721940738 16.283997657918337865 14.393967710411672556 42.275035439051947606
7600 12.965100295507619776 15.759308159427943608 14.577879650079173857 43.302288105014731912
7650 13.335413852050749028 16.092695613745423344 13.893814764902566949 43.321924230698726888
7700 13.340151547416377653 15.514010474070827783 14.35420951632582387 43.208371537813029306
7750 13.412301908520136706 14.887611784210676547 14.649520876188850238 42.949434568919656385
7800 13.521869336791356275 15.977213361771719136 15.242860975955878189 44.741943674518942942
7850 13.832543485124688232 16.156023169249781546 15.373211286790635199 45.36177794116510853
7900 13.44904608199574092 16.877848210389075234 15.445868528758365912 45.772762821143174961
7950 14.118980864121965624 16.346160202486746726 14.082500302008279291 44.547641368617000523
8000 14.75216497806620275 15.62336671325389581 14.820216010908325188 45.195747702228409537
8050 15.054323779972662578 14.894072792871407174 16.030406704511239724 45.978803277355318357
8100 13.799503095502155148 13.653525633566161446 15.328761755628979913 42.781790484697296506
8150 14.356161682998410001 13.304998370212564041 13.468736807544919643 41.129896860755884802
8200 13.371561545939590232 14.094590673287866522 12.696508802906615543 40.162661022134066968
8250 13.925465169435554458 13.553592797037817164 13.112930058042186587 40.59198802451557242
8300 13.973069180390105259 13.644173479666713789 13.089364518418543426 40.706607178475366027
8350 13.30491389851406403 13.039152523489532243 13.56723522907420687 39.911301651077813801
8400 13.540997861814119574 13.802188514744250014 14.805156988805705964 42.148343365364070223
8450 13.455496450494067062 14.385403010268404955 15.684828032563705946 43.525727493326172635
8500 13.581585547562475824 15.181425199525788727 14.603491500954191906 43.366502248042458234
8550 13.560534037283799691 14.971008678581517515 14.264347357957364082 42.795890073822675959
8600 14.25264949021598504 14.725555914263869894 12.735996153487851856 41.714201557967705014
8650 14.178937588884855003 13.837230484795947305 13.191090687530737213 41.207258761211541298
8700 14.268039788774876442 13.728603755393145036 13.957532899427937068 41.954176443595962098
8750 14.675211320913478019 14.052553007220035752 15.16535593258680592 43.89312026072033035
8800 13.801810729982108228 14.733381257648749951 15.131675118506052513 43.666867106136912469
8850 14.073364264851525363 15.085593520624994923 15.230308580551186637 44.389266366027698041
8900 14.382462701371201419 14.881996236095545783 15.248723268267710296 44.513182205734459274
8950 15.56693239042014909 15.21787227362879058 15.008178563760475654 45.79298322780940822
9000 15.231492814636434119 15.370987610975054949 15.224720601866769343 45.827201027478274398
9050 15.269485451702417222 14.607949632089443526 15.163384310095786134 45.040819393887638
