#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
114.5 6.7702393162612118328e-31 1.1868408697099227544e-29 0 1.2545432628725349428e-29
115 6.7120009689917984077e-31 1.149054231742853533e-32 0 6.8269063921660841441e-31
115.5 9.0817304751078904768e-31 1.1392122707975343411e-32 0 9.1956517021876440478e-31
116 4.1635766237284066381e-33 1.1294962190322039338e-32 0 1.5458538814050445292e-32
116.5 8.9993709171261162409e-31 1.1199039378782682259e-32 0 9.1113613109139429266e-31
117 3.625904764014995443e-33 1.1104333339795920935e-32 0 1.4730238103810915694e-32
117.5 3.5953709650622076283e-33 1.3268941257247384505e-29 0 1.3272536628212447388e-29
118 3.5652212367872872172e-33 8.0217477827713977782e-33 0 1.1586969019558684311e-32
118.5 3.5354491646956297964e-33 7.9547606205651690947e-33 0 1.1490209785260798891e-32
119 3.5060484676489427228e-33 7.8886090522101236922e-33 0 1.1394657519859067099e-32
119.5 3.4770129945520753826e-33 1.3150932398644580417e-29 0 1.315440941163913313e-29
120 8.8968434411827396828e-31 5.3880261267742120437e-33 0 8.9507237024504823369e-31
120.5 6.8839800140787336008e-31 5.3437714794222604235e-33 0 6.9374177288729564856e-31
121 8.8883328378007764941e-31 5.3000598308318512922e-33 0 8.9413334361090946581e-31
121.5 2.9569963127818044934e-33 5.256882333834320772e-33 0 8.2138786466161252655e-33
122 2.933004555402337352e-33 1.3035575801788155533e-29 0 1.3038508806343559233e-29
122.5 8.8082075963481703868e-31 1.2115943563307273453e-29 0 1.2996764322942090842e-29
123 2.5139297838078578207e-33 5.1304689465466482087e-33 0 7.6443987303545060293e-33
123.5 2.4937781233095998521e-33 5.0893431087951005241e-33 0 7.5831212321047007183e-33
124 2.4738677987730960209e-33 5.0487097934144812704e-33 0 7.5225775921875776334e-33
124.5 2.4541949718785177946e-33 1.2025555362204722603e-29 0 1.2028009557176600993e-29
125 2.4347558803117674333e-33 7.15520095438560027e-33 0 9.5899568346973677033e-33
125.5 2.4155468359655432962e-33 7.0987498852864924621e-33 0 9.5142967212520361004e-33
126 2.3965642231898826843e-33 7.0429642477416948508e-33 0 9.4395284709315782193e-33
126.5 2.3778044970906338116e-33 1.1938325533800995718e-29 0 1.1940703338298086028e-29
127 2.3592641818743663148e-33 9.4370567274974625223e-33 0 1.1796320909371829179e-32
127.5 6.9946327807178509517e-31 9.3637594769530762173e-33 0 7.0882703754873819329e-31
128 6.9405159024943420395e-31 9.2913128672146163722e-33 0 7.0334290311664881485e-31
